# Lucide icon codepoints — auto-generated from Lucide.ttf
# Format: hex_codepoint  glyph-name
#
# Usage in Rust:  iced::widget::text("\u{XXXX}").font(LUCIDE_FONT)

//! Lucide icon helpers.
//!
//! **Adding a new icon:** look up the codepoint in
//! `crates/playfair-core/assets/fonts/lucide-codepoints.txt`,
//! then follow the pattern of any existing function below.

0000  .notdef#1
f30a  scissors
f32c  scissors_line_dashed
f2e8  scooter
f2a4  screen_share
f2c6  screen_share_off
f260  scroll
f282  scroll_text
f194  search
f23e  search_alert
f21c  search_check
f1fa  search_code
f1d8  search_slash
f1b6  search_x
f172  section
f10f  send
f151  send_horizontal
f130  send_to_back
f0ee  separator_horizontal
f0cd  separator_vertical
f049  server
f0ac  server_cog
f08b  server_crash
f06a  server_off
f007  settings
f028  settings_2
f67d  shapes
f639  share
f65b  share_2
f617  sheet
f5f5  shell
f5d3  shelving_unit
f43b  shield
f5b1  shield_alert
f58f  shield_ban
f56d  shield_check
f54b  shield_ellipsis
f529  shield_half
f507  shield_minus
f4e5  shield_off
f4c3  shield_plus
f4a1  shield_question_mark
f47f  shield_user
f45d  shield_x
f3f7  ship
f419  ship_wheel
f3d5  shirt
f3b3  shopping_bag
f391  shopping_basket
f36f  shopping_cart
f34d  shovel
f32b  shower_head
f309  shredder
f2e7  shrimp
f2c5  shrink
f2a3  shrub
f281  shuffle
f25f  sigma
